adres [n]	address
agres [n]	aggression
aha [v]	realize (become aware of)
ajib [a]	weird (strange)
aka [n]	brother or sister
ali [a]	other
alian [n]	alien
almas [n]	diamond
alu [n]	potato
ama [conj]	but
amuk [v]	rage (fury)
ana [n]	son or daughter
analiza [v]	analyse
anjil [n]	gospel
anma [n]	soul
anus [n]	anus
ara [n]	saw (tool)
armia [n]	army
asan [v]	posture (asana)
asia [pn]	Asia
asketer [n]	ascetic
asle [n]	origin
asli [a]	original
ataka [v]	attack
atom [n]	atom
auda [v]	hear (listen)
aventur [n]	adventure
aventurer [n]	adventurer
bab [n]	chapter (section)
bad [prep]	after (later)
badan [n]	body
bagaj [n]	luggage (baggage)
baka [v]	bake
baker [n]	baker
bal [a]	strong
balde [n]	bucket
bana [v]	build (construct)
banan [n]	banana
band [n]	band
banda [v]	bind (tie together)
bandaj [n]	bandage
bandera [n]	flag
banka [v]	save (deposit)
banker [n]	banker
bankia [n]	bank (depository)
bar [n]	time (occasion)
barat [pn]	India
barut [n]	gunpowder
bas [a]	enough (sufficient)
bat [num]	eight (8)
batat [n]	yam (sweet potato)
bateri [n]	battery
batu [n]	stone
bax [n]	language
bay [a]	white
baz [n]	base (foundation)
bazar [n]	market (bazaar)
bazi [a]	basic (fundamental)
bebe [n]	baby
bed [n]	bed
beng [a]	sick (ill)
benzin [n]	gasoline (petrol)
beret [n]	beret
beton [n]	concrete (material with cement)
bi [prep]	with (by means of)
bi koz de [prep]	because of
bi tem de [prep]	about (concerning)
bi yang de [prep]	like (in the style of)
bin [n]	pot (bin)
biolojie [n]	biology
bir [n]	beer
bizi [a]	busy (occupied)
bol [n]	ball
bolgaria [pn]	Bulgaria
bombe [n]	bomb
bon [a]	good
bot [n]	boat (ship)
botol [n]	bottle
boton [n]	button
brazil [pn]	Brazil
britan [pn]	Britain (UK)
brox [n]	brush
buda [v]	understand (comprehend)
budi [a]	smart (understanding)
buk [n]	book
bula [v]	forget
bunduk [n]	gun
bur [a]	bad (not good)
bus [n]	bus
ca [n]	tea
ca wan [cw]	tea bowl
cabi [n]	key
cabuk [n]	whip (lash)
cakra [n]	disk (wheel)
caku [n]	knife
camca [n]	spoon
cana [v]	produce (manufacture)
canie [n]	industry
capa [v]	press (stamp)
car [num]	four (4)
caye [n]	shadow
ceng [n]	success (accomplishment)
cenga [v]	succeed (accomplish)
cing [v]	ask (request)
cingua [n]	frog
cis [n]	cheese
cizel [n]	chisel
