a_	¡ah!
abit	morar (habitar)
adres	dirección
adulte	adulto
afrika	África
agres	agresión
aha	comprender
ai	¡ay!
aina	espejo
aka	hermano o hermana
akse	eje
alah	Alá
alkol	alcohol
almari	armario
almas	diamante
alter	otro
alu	patata
ama	pero (sino)
amen	afirmar (concordar, amen)
amerika	América (continente)
amor	amor
amper	amperio
amuk	rabia (furia)
analis	analizar
andjil	evangelio
anime	animación
anma	alma
anten	antena
anus	ano
ara	sierra
arabi	árabe
arena	estadio
armi	ejército
arte	arte
arxentina	Argentina
asal	origen
asan	postura (asana)
asia	Asia
asket	ascético
asma	asma
aspirin	aspirina
ata	harina
atak	atacar
atom	átomo
audi	oír (escuchar)
australia	Australia
avar	daño
aventur	aventura
ayiti	Haití
baca	lengua(idioma)
baca logi	lingüística
bad	malo (no bueno)
bada	después
badal	intercambio
badam	almendra
badan	cuerpo
bai	blanco
bal	fuerza (potente)
baldi	balde (cubeta)
balkon	balcón
balu	arena
bambu	bambú
ban	niño (niña)
bana	construir
banan	banana (banano, plátano)
banda	vendaje
bandera	bandera
bandi	prisionero
bandi kan	prisión
bangla	Bangladesh
banka	banco (depósito)
banko	banco
banya	bañera
banya kamar	baño
bar	bar (cantina, taberna)
barat	India
barbar	bárbaro
barda	barba
barka	felicitar
baru	oso
barud	pólvora
bas	bastar (suficiente)
basen	piscina
basket	cesta
bat	ocho (8)
batata	batata
bateri	batería
batu	piedra
bazar	mercado (bazar)
baze	base (fundación)
bebe	bebé
bed	cama
bei	experimentar (verbo de la voz pasiva)
belarus	Bielorrusia
belgi	Bélgica
beng	enfermo
benzin	gasolina
beranda	porche
beret	boina
bet	casa
beton	hormigón (concreto)
bi	con
bi no	sin
bi tema de	acerca de
bi yang de	como
bibi	cariño
biblia	Biblia
bir	cerveza
bis	beso
biskut	galleta
bite lai in!	¡Adelante!
bizar	extraño
bizi	ocupado
biznes	negocio
biznes jen	hombre de negocios
blu	azul
bobo	tonto (idiota)
boi	chico
boikot	boicotear
boka	boca
bola	bola (globo)
bolgaria	Bulgaria
bomba	bomba
bon	bueno
bor	taladro
bot	barco
botol	botella
boton	botón
brazil	Brasil
britan	Gran Bretaña
broc	cepillo
brun	marrón
buda	Buda
budan	Mercurio
budi	inteligente
budjet	presupuesto
buk	libro
bul	olvidar
bumi	tierra
bumi dou	cacahuete
bunduk	rifle
bus	autobús
buton	tecla
buton paban	teclado
cabi	llave
cak	duda (incredulidad)
cakal	chacal
cal	bufanda
cam salam	Buenas noches
cam yem	cena
caman	chamán
camba	campo (zona rural)
campion	campeón
can	montaña
cani	Saturno
canti	paz (calma, tranquilo)
carbon	carbón
catan	diablo
catur	ajedrez
cau	poco
cef	jefe
cef wazir	primer ministro
centi	centi-
cia	abajo
cifu	maestro (sensei)
cigo	accidente
cik	elegante (chic)
cim	corazón
cin	creer (fe, credo)
cir	poema
cirop	jarabe
cok	choque (colisión)
corab	calcetín
culi	reparar
cup	chupar
dado	dado
daftar	registro
dai	grande
daici	embajador
daici kan	embajada
dama	juego de damas
dane	semilla
danke	gracias
danmark	Dinamarca
dans	baile
dant	diente
dant broc	cepillo de dientes
dant doktor	dentista
dap	respuesta
dar	dar
dawa kan	droguería, farmacia
demon	demonio
den	día
din guru	sacerdote, cura, padre, clérigo, presbítero
djungok	China
dou	frijol, alubia, haba, poroto, judía
faida	beneficio, utilidad
festa	fiesta, celebración
fubu	barriga, panza, vientre
gamel	camello
gar	coche, carro
gok	país, estado
gol	objetivo, próposito
gua	cueva, caverna
gut	hueso
hawa	aire
i_	y (e)
ja	ya
kabil	capaz, competente
kafe	café
kafe kan	café, cafetería
kakau	cacao
kal	negro
kambudia	Camboya
kandi	dulce, bombón, caramelo
kapitan	capitán
kara	letra (carácter)
karot	zanahoria
karta	tarjeta
kasa	caja
kastan	castaña
katalunya	Cataluña
kek	galleta
ken	poder, ser posible
kimi	químico (sustancia)
kimi logi	química
kirat	quilate
kok	gallina, pollo, gallo
koko	coco
kolombia	Colombia
koloni	colonia
kolun	columna, pillar
kompani	compañía (corporación, empresa)
komputer	computadora, ordenador
komun	común
kona	esquina, rincón, ángulo
kop	copa, taza, vaso
kot	chaqueta, saco, abrigo
krus	cruz
kupa	cúpula, bóveda, sótano
kupon	cupón
kurse	silla, sillón
kusen	almohada, cojín
lusun	espárragos
makala	artículo, escrito
mau	gato
metal nik	metalero
mun	puerta
na cia	Debajo de, abajo, bajo
nau	cerebro
paki	ave, pájaro
pan	pan
pingo	manzana
piping	crítica
pistol	pistola
pistol nik	pistolero
putong	común, normal
rang	color
re	otra vez, de nuevo
saf	limpio, puro
safar nik	turista
sak	bolsa, saco
sang	sangre
sel	célula
sement	cemento
sigaret	sigarro, cigarrillo
siti	ciudad
son	sueño
suan	acido, agrio
tamar	dátil
tambur	tambor
tcing	pedir (por favor)
tcis	queso
tcokolat	chocolate
tela	tela
tortuga	tortuga
tot	todo (entero)
umur	edad
waf	perro
xor	coro
yakin	seguro
zon	cinturón

