a_	ah!
abit	loĝi
adres	adreso
adulte	plenkreskulo
afrika	Afriko
agres	agresi
aha	ekkompreni
ai	ve!
aka	frato aŭ fratino
akse	akso
alah	Alaho
alkol	alkoholo
almari	ŝranko
alter	alia
alu	terpomo
ama	sed
amerika	Ameriko
amor	ami
amper	ampero
analis	analizi
andjil	evangelio
anime	animacio (movbildo)
anten	anteno
arabi	araba
aranji	oranĝo
arena	stadiono
armi	armeo
arte	arto
arxentina	Argentinio
asal	origino
asan	pozo
asia	Azio
asket	asketo
asma	astmo
aspirin	aspirino
ata	faruno
atak	ataki
atom	atomo
audi	aŭdi (aŭskulti)
australia	Aŭstralio
aventur	aventuro
ax	ve!
baca	lingvo
baca logi	lingvoscienco
bad	malbona
bada	post
badal	interŝanĝi
badam	migdalo
badan	korpo
bagaj	bagaĝo
bai	blanka
bal	forto
balkon	balkono
balu	sablo
bambu	bambuo
ban	ido (filo aū filino)
bana	konstrui
banan	banano
banda	bendo (fasko)
bandera	flago
bandi	malliberulo
bandi kan	malliberejo
bangla	Bangladeŝo
banko	benko
banya	bano
banya kamar	banejo
barat	Barato (Hindio)
barbar	barbaro
barda	barbo
barka	gratuli
baru	urso
bas	sufiĉa
basen	baseno (cisterno)
basket	korbo
bat	ok
batata	batato
bateri	baterio
batu	ŝtono
bauhu	protekti
bazar	bazaro
baze	bazo
bebe	bebo
bed	lito
belgi	Belgio
beng	malsana
benzin	benzino
beranda	verando
beret	bereto
beria	lupo
bet	domo
beton	betono
bi	je (per, kun, de)
bi no	sen
bi tema de	pri
bi yang de	kiel
biblia	Biblio
bir	biero
bis	kisi
biskut	biskvito
bite lai	inviti
bite lai in!	Eniru!
bizar	stranga
bizi	okupita
biznes	komerco
blu	blua
bobo	stultulo
boi	knabo
boikot	bojkoto
boka	buŝo
bola	pilko
bolgaria	Bulgario
bolivia	Bolivio
bomba	bombo
bon	bona
bot	boato (ŝipo)
botol	botelo
boton	butono
brazil	Brazilio
britan	Britanio
broc	broso
brun	bruna
buda	Budho
buda din	budhismo
budan	Merkurio
budjet	buĝeto
buk	libro
bul	forgesi
bumi	tero
bunduk	pafilo
bus	buso
cabi	ŝlosilo
cak	dubi (suspekti)
cam	vespero
camba	kampo
can	monto
cani	Saturno
cans	oportuno
canti	paco
carbon	karbono
catan	diablo
