akse	axe
alah	Allah
alkol	alcool
almari	armoire
almas	diamant
alter	autre
alu	pomme de terre
ama	mais
amerika	Amérique (continent)
amor	aimer
amper	ampère
analis	analyser
anime	dessin animé
anma	âme
anten	antenne
arabi	arabe
arena	arène (stade)
armi	armée
arte	art
arxentina	Argentine
asal	origine
asia	Asie
asma	asthme
aspirin	aspirine
ata	farine
atak	attaquer
atom	atome
audi	entendre (écouter)
australia	Australie
aventur	aventure
ax	Oh !
ayiti	Haïti
baca	langue (langage)
baca logi	linguistique
bad	mauvais (pas bien)
bada	après
badal	échanger
badam	amande
badan	corps
bagaj	bagages
bai	blanc
bal	fort
balkon	balcon
balu	sable
bambu	bambou
bana	construire
banan	banane
banda	bande (bandage)
bandera	drapeau
bandi	prisonnier
bandi kan	prison
banko	banc
banya	bain (baignoire)
banya kamar	salle de bain
barat	Inde
barbar	barbare
barda	barbe
barka	féliciter
baru	ours
bas	suffisant
basen	piscine (bassin)
basket	corbeille
bat	huit (8)
batata	patate douce
bateri	pile, batterie
batu	pierre
bauhu	protéger (défendre)
bazar	marché
baze	base (fondation)
bebe	bébé
bed	lit
belgi	Belgique
beng	malade
benzin	essence (carburant)
beria	loup
bet	maison
beton	béton
bi	avec, par
bi no	sans
bi tema de	à propos de, sur
bi yang de	comment (manière)
biblia	Bible
bir	bière
biskut	biscuit
bite lai	inviter
bite lai in!	Entre(z) !
bizar	étrange
bizi	occupé
biznes	commerce
biznes jen	homme d’affaires
blu	bleu
bobo	idiot
boi	garçon
boka	bouche
bola	balle, ballon
bolgaria	Bulgarie
bolivia	Bolivie
bomba	bombe
bon	bon, bien
bot	bateau
botol	bouteille
boton	bouton
brazil	Brésil
britan	Grande-Bretagne
broc	brosse
brun	brun
buda	Bouddha
buda din	Bouddhisme
budan	Mercure
budjet	budget
buk	livre
bul	oublier
bumi	terre (sol)
camba	campagne
carbon	charbon
catur	échecs
he	hein?
i_	et
imper xan	empereur
ja	déjà
kakau	cacao
karot	carotte
karta	carte
sak	sac
sement	ciment
tcing	demander (quelque ches)
tcokolat	chocolat
tortuga	tortue
umur	âge

